VariableCode,Medium,Variable,Unit,Aggregate,Tags
Air Temp C,Air,Temperature,DegreeCelsius,0,0
Air Temp C Avg,Air,Temperature,DegreeCelsius,Average,0
Air Temp C Max,Air,Temperature,DegreeCelsius,Maximum,0
Air Temp C Min,Air,Temperature,DegreeCelsius,Minimum,0
Air Temp Delta C Avg,Air,Temperature,DegreeCelsius,Average,0
Air Temp Delta C Max,Air,Temperature,DegreeCelsius,Maximum,0
Air Temp Delta C Min,Air,Temperature,DegreeCelsius,Minimum,0
Barometric Pressure mb,Air,BarometricPressure,Millibar,0,0
Barometric Pressure mmHg ,Air,BarometricPressure,MillimeterOfMercury,0,0
Battery Voltage,Battery,Voltage,Volt,0,0
Battery Voltage Avg,Battery,Voltage,Volt,Average,0
Battery Voltage Max,Battery,Voltage,Volt,Maximum,0
Battery Voltage Min,Battery,Voltage,Volt,Minimum,0
CO2 Concentration ppm/10,Air,Concentration,PartPerMillion,0,0
Derived Cumulative Precipitation,Precipitation,Precipitation,Millimeter,Cumulative,0
Dielectric,Rock,DielectricStrength,Dimensionless,0,sqrt(dielectric constant)
Discharge,SurfaceWater,Discharge,CubicMeterPerSecond,0,0
Electrical Conductivity dS/m,Rock,Moisture,DecisiemenPerMeter,0,0
Electrical Current mA,Not Applicable,ElectricCurrent,Milliamp,0,0
Evapotranspiration,Air,Evapotranspiration,Millimeter,0,0
External Voltage,Instrument,Voltage,Volt,0,external
Forward Power,instrument,RadioTransmission,DecibelMilliwatts,0,forward
Fuel Moisture Per Avg,Instrument,Moisture,Percent,Average,fuel
Gage Height meters,SurfaceWater,Depth,Meter,0,0
GEONOR GAUGE FREQ hz,Precipitation,Precipitation,Hertz,0,0
GEONOR PRECIP cm,Precipitation,Precipitation,Centimeter,0,0
Hail Cumulative mm,Snow,Precipitation,Millimeter,Cumulative,0
Hail Intensity mm/h,Snow,Precipitation,MillimeterPerHour,0,0
Leaf Wetness cnts mV,Leaf,Moisture,Count,0,0
Leaf Wetness Excitation mV,Leaf,Moisture,Millivolt,0,0
Leaf Wetness kohms,Leaf,Moisture,Kiloohm,0,0
Leaf Wetness Minutes,Leaf,Moisture,MinuteTime,0,0
Leaf Wetness Percent,Leaf,Moisture,Percent,0,0
