stationid, datastreamid, datastreamname, fieldname, startdate
334,3111, "Battery Voltage volts Blue Oak Min", "Min_Battery_Voltage", "2011-06-03 13:00:00"
345,3122, "Battery Voltage volts 2 Rancho Marino Min", "Min_Battery_Voltage"2, "2011-11-01 13:40:00"
333,3326, "Battery Voltage volts Hastings Min", "Min_Battery_Voltage", "2011-01-31 16:50:00"
335,3379, "Battery Voltage volts Angelo Min", "Min_Battery_Voltage", "2013-05-07 15:10:00"
337,3456, "Battery Voltage volts Deep Canyon Min", "Min_Battery_Voltage", "2010-09-29 10:10:00"
341,3557, "Battery Voltage volts Elliott Min", "Min_Battery_Voltage", "2010-09-28 16:00:00"
343,3594, "Battery Voltage volts James Min", "Min_Battery_Voltage", "2009-12-31 22:30:00"
345,3671, "Battery Voltage volts Rancho Marino Min", "Min_Battery_Voltage", "2011-02-01 13:40:00"
350,3746, "Battery Voltage volts McLaughlin Min", "Min_Battery_Voltage", "2011-12-14 14:20:00"
351,3799, "Battery Voltage volts Motte Min", "Min_Battery_Voltage", "2010-09-28 10:30:00"
354,3852, "Battery Voltage volts Santa Cruz Island Min", "Min_Battery_Voltage", "2013-01-01 00:00:00"
355,3905, "Battery Voltage volts Sedgwick Min", "Min_Battery_Voltage", "2011-05-18 14:50:00"
356,3958, "Battery Voltage volts SNARL Min", "Min_Battery_Voltage", "2012-07-11 12:00:00"
357,4011, "Battery Voltage volts Anza Borrego Min", "Min_Battery_Voltage", "2013-04-30 13:40:00"
360,4076, "Battery Voltage volts WhiteMt Summit Min", "Min_Battery_Voltage", "2003-09-10 20:00:00"
361,4100, "Battery Voltage volts WhiteMt Barcroft Min", "Min_Battery_Voltage", "2003-11-01 15:40:00"
362,4123, "Battery Voltage volts WhiteMt Crooked Min", "Min_Battery_Voltage", "2005-04-15 19:00:00"
363,4159, "Battery Voltage volts Younger Min", "Min_Battery_Voltage", "2015-09-02 16:50:00"
364,4180, "Battery Voltage volts Sagehen Creek Min", "Min_Battery_Voltage", 1997-04-02 21:00:00"
342,4197, "Battery Voltage volts Fort Ord Min", "Min_Battery_Voltage", "2016-11-30 12:10:00"
348,4248, "Battery Voltage volts BigCreek Gatehouse Min", "Min_Battery_Voltage", "2013-08-22 12:00:00"
344,4267, "Battery Voltage volts Jepson Min", "Min_Battery_Voltage", "2013-04-30 09:50:00"
